neighborhood,latitude,longitude
Acton,-118.1698102,34.49735524
Adams-Normandie,-118.300208,34.0314615
Agoura Hills,-118.7598845,34.1467365
Agua Dulce,-118.3171037,34.504927
Alhambra,-118.136512,34.085539000000004
Alondra Park,-118.335156,33.889617
Artesia,-118.080101,33.866896000000004
Altadena,-118.136239,34.1938705
Angeles Crest,-117.9223953,34.31393701
Arcadia,-118.030419,34.13323
Arleta,-118.4307575,34.2431
Arlington Heights,-118.3234085,34.0449105
Athens,-118.3046565,33.92369251
Atwater Village,-118.2623735,34.13106636
Avalon,-118.3273322,33.3369545
Avocado Heights,-118.0012615,34.040881
Azusa,-117.9124685,34.13747
Vermont-Slauson,-118.2903575,33.983914
Baldwin Hills/Crenshaw,-118.357746,34.01197027
Baldwin Park,-117.9751905,34.0811095
Bel-Air,-118.4584155,34.102057
Bellflower,-118.1290315,33.8880135
Bell Gardens,-118.149936,33.965686
Green Valley,-118.4142166,34.62000746
Bell,-118.179166,33.981161
Beverly Crest,-118.423263,34.106007
Beverly Grove,-118.376102,34.076633
Burbank,-118.325211,34.1820105
Koreatown,-118.3049585,34.0645105
Beverly Hills,-118.399534,34.0825445
Beverlywood,-118.393982,34.04351
Boyle Heights,-118.2107875,34.0391685
Bradbury,-117.968574,34.15424
Brentwood,-118.4921885,34.086240999999994
Broadway-Manchester,-118.2753515,33.9412235
Calabasas,-118.6716317,34.1362545
Canoga Park,-118.6015195,34.210855
Carson,-118.2480095,33.83952
Carthay,-118.36891,34.05785562
Castaic Canyons,-118.454769,34.56414629
Chatsworth,-118.6123545,34.2564035
Castaic,-118.6333494,34.48174977
Central-Alameda,-118.2472125,34.00686403
Century City,-118.415083,34.0553255
Cerritos,-118.0686375,33.8668925
Charter Oak,-117.85752,34.100075
Chatsworth Reservoir,-118.6269533,34.2330725
Chesterfield Square,-118.313208,33.983763
Cheviot Hills,-118.4114615,34.0408535
Chinatown,-118.2370065,34.0635105
Citrus,-117.892164,34.11618
Claremont,-117.7187695,34.12236514
Northridge,-118.527969,34.2388055
Commerce,-118.1573625,33.99507923
Compton,-118.2218105,33.893252000000004
Cypress Park,-118.2241565,34.0921395
La Mirada,-118.007221,33.9007935
Covina,-117.883922,34.0874955
Cudahy,-118.1855725,33.9626205
Culver City,-118.4090245,34.0058995
Del Aire,-118.369832,33.915552000000005
Del Rey,-118.423993,33.98929219
Desert View Highlands,-118.1545563,34.59087715
Diamond Bar,-117.8157307,34.000640999999995
Downey,-118.130423,33.937677
Downtown,-118.2485099,34.04000861
Duarte,-117.9576235,34.1578555
Eagle Rock,-118.2048445,34.133917
East Compton,-118.195989,33.89401682
East Hollywood,-118.2968085,34.0891095
East La Mirada,-117.990762,33.9245105
Elizabeth Lake,-118.3862112,34.65768604
East Los Angeles,-118.1596384,34.03516871
East Pasadena,-118.080878,34.13856351
East San Gabriel,-118.0739645,34.11064449
Echo Park,-118.2590075,34.079534
El Monte,-118.035196,34.0711695
El Segundo,-118.4022307,33.916583
El Sereno,-118.1762975,34.08224218
Elysian Park,-118.2374565,34.08126
Elysian Valley,-118.2419565,34.0957595
Vermont Square,-118.2988075,34.002063
Encino,-118.499515,34.1562245
Exposition Park,-118.2988755,34.0182625
Fairfax,-118.352858,34.078936
Florence-Firestone,-118.2419205,33.96610152
Florence,-118.2686065,33.974564
Gardena,-118.308627,33.891006
Glassell Park,-118.2364273,34.1144055
Green Meadows,-118.26149,33.94163409
Vermont Vista,-118.285451,33.94170804
Glendale,-118.244927,34.1929755
Glendora,-117.8417845,34.142041
Gramercy Park,-118.308984,33.949062
Granada Hills,-118.5076705,34.29568265
Griffith Park,-118.2971563,34.136874
Hacienda Heights,-117.9750805,34.00208551
Hancock Park,-118.3350095,34.0727595
Hansen Dam,-118.3790535,34.2657065
Harbor City,-118.295164,33.7976973
Harbor Gateway,-118.295309,33.8685155
Harvard Heights,-118.307658,34.045061
Harvard Park,-118.3045575,33.983763
Walnut Park,-118.2205115,33.9669815
Hasley Canyon,-118.6602161,34.47619989
Hawaiian Gardens,-118.072192,33.830604
Hawthorne,-118.346056,33.914028
Hermosa Beach,-118.3971418,33.86477129
Hidden Hills,-118.657056,34.16405684
Mar Vista,-118.4366819,34.01024217
Highland Park,-118.1911965,34.108759
Historic South-Central,-118.265857,34.0195625
Hollywood Hills,-118.33541,34.128089
Hollywood Hills West,-118.370258,34.1110715
Hollywood,-118.3355516,34.0944085
Huntington Park,-118.214015,33.9789675
Hyde Park,-118.3377585,33.985431
Inglewood,-118.3461175,33.9540675
Irwindale,-117.966678,34.1088745
Jefferson Park,-118.3220585,34.0282115
Industry,-117.939621,34.02683557
La Canada Flintridge,-118.20047,34.210687
La Crescenta-Montrose,-118.235182,34.228709
Ladera Heights,-118.3741075,33.996097
Playa Vista,-118.413648,33.9769255
La Habra Heights,-117.9556278,33.96095114
Lake Balboa,-118.504467,34.2037035
Lake Hughes,-118.4593337,34.67140902
Lake Los Angeles,-117.8360392,34.61103895
Lake View Terrace,-118.3618685,34.2837615
Lakewood,-118.113051,33.844693
Lancaster,-118.131791,34.70006612
La Puente,-117.9530935,34.0331365
Larchmont,-118.317809,34.079959499999994
Watts,-118.2399365,33.941619
La Verne,-117.774525,34.124884
Lawndale,-118.3564765,33.8877105
Leimert Park,-118.3263397,34.01305052
Lennox,-118.3571475,33.9381745
Leona Valley,-118.291222,34.612528399999995
Lincoln Heights,-118.2103055,34.0704105
Littlerock,-117.9782761,34.52132243
Lomita,-118.317966,33.7913095
Long Beach,-118.156064,33.806580700000005
Lopez/Kagel Canyons,-118.3855585,34.300821500000005
Los Feliz,-118.2884085,34.1078585
Lynwood,-118.2028265,33.9252135
Malibu,-118.7542538,34.03389549
Manchester Square,-118.308984,33.96716527
Manhattan Beach,-118.4009392,33.889508
Marina del Rey,-118.4478695,33.9753235
Mayflower Village,-118.0023,34.11731810000001
Maywood,-118.187303,33.988339
Mid-City,-118.3588095,34.0411075
Mid-Wilshire,-118.3431095,34.0596095
Mission Hills,-118.4571625,34.2716615
Monterey Park,-118.1316194,34.049428000000006
West Adams,-118.3551786,34.0288615
Monrovia,-117.981791,34.14860835
Montebello,-118.1083374,34.01031500000001
Montecito Heights,-118.1942705,34.093659
Mount Washington,-118.2190065,34.103159000000005
Northeast Antelope Valley,-117.9151508,34.63756431
North El Monte,-118.023543,34.10248323
North Hills,-118.477117,34.2387025
North Hollywood,-118.3796635,34.1779385
Northwest Antelope Valley,-118.4277267,34.72556933
Northwest Palmdale,-118.1788748,34.62560895
North Whittier,-118.0291891,34.00571484
Norwalk,-118.076938,33.907169
Pacific Palisades,-118.545859,34.07836673
Pacoima,-118.4189085,34.26360659
Palos Verdes Estates,-118.390122,33.78331681
Panorama City,-118.4452155,34.229503
Palmdale,-118.1080935,34.585421999999994
Palms,-118.40903,34.02459753
West Carson,-118.2922775,33.8220725
Paramount,-118.1653905,33.8991545
Pico Rivera,-118.0816195,33.9896045
Pico-Robertson,-118.3913255,34.053732000000004
Pico-Union,-118.2847075,34.0441615
Playa del Rey,-118.4413395,33.94566153
Pasadena,-118.131809,34.184591
Pomona,-117.769942,34.0657235
Porter Ranch,-118.5487295,34.2782165
Quartz Hill,-118.2186366,34.65487815
Redondo Beach,-118.377101,33.854634000000004
Ramona,-117.8384345,34.060568
Rancho Dominguez,-118.2182915,33.859876
Reseda,-118.540368,34.2036035
Rolling Hills Estates,-118.3545335,33.77643
Rancho Palos Verdes,-118.3598075,33.75869893
Rancho Park,-118.423125,34.034315
Ridge Route,-118.7033273,34.649657899999994
Rolling Hills,-118.3481265,33.762683
Rosemead,-118.0818755,34.064646
Rowland Heights,-117.8939913,33.973575
Santa Fe Springs,-118.06368,33.928935
San Dimas,-117.8132685,34.1152595
