neighborhood_name,HomeSize,LotSize,Bedrooms,Bathrooms,SexOffenders,EnviornmentalHazards,Age,SalePrice,Neighborhood,YearBuilt,latitude,longitude,CrimeIndex_Slightly High,CrimeIndex_Very Low,CrimeIndex_Low,CrimeIndex_Moderate,CrimeIndex_High,CrimeIndex_Moderately High,SchoolQuality_Poor,SchoolQuality_Excellent,SchoolQuality_Above Average,SchoolQuality_Average,CrimeIndex_Very High
Adams-Normandie,1950.5,6056.666666666667,4.833333333333333,2.6666666666666665,22.333333333333332,5.666666666666667,108.16666666666667,"$727,833.33",727833.3333333334,1908.6666666666667,-118.30020800000011,34.031461499124156,1,0,0,0,0,0,1,0,0,0,0
Agoura Hills,2079.8333333333335,9047.416666666666,3.75,2.5833333333333335,0.08333333333333333,2.1666666666666665,42.0,"$924,666.67",924666.6666666666,1975.8333333333333,-118.75988450000015,34.146736499122795,0,1,0,0,0,0,0,1,0,0,0
Alhambra,1641.4782608695652,6699.04347826087,3.0434782608695654,2.0,4.586956521739131,6.956521739130435,76.28260869565217,"$788,902.17",788902.1739130433,1941.7173913043478,-118.13651200000021,34.08553899912357,0,0,1,0,0,0,0,1,0,0,0
Alondra Park,1161.8333333333333,5558.166666666667,2.8333333333333335,1.5,4.5,7.833333333333333,71.0,"$625,666.67",625666.6666666666,1948.3333333333333,-118.33515598608159,33.889617004889644,0,0,0,1,0,0,0,0,1,0,0
Altadena,1594.2045454545455,8305.25,2.965909090909091,1.8409090909090908,2.5568181818181817,3.090909090909091,77.72727272727273,"$939,371.59",939371.5909090925,1941.0681818181818,-118.13623898201556,34.19387050223217,0,0,0,1,0,0,1,0,0,0,0
Angeles Crest,971.0,7307.5,2.0,1.0,0.0,2.0,74.5,"$140,000.00",140000.0,1926.5,-117.9223952817848,34.31393700589531,0,0,1,0,0,0,0,0,1,0,0
Arcadia,2165.277777777778,9324.907407407407,3.259259259259259,2.6296296296296298,0.8148148148148148,4.425925925925926,57.925925925925924,"$990,768.56",990768.5555555545,1958.9259259259259,-118.03041899311202,34.13322999912302,0,0,1,0,0,0,0,1,0,0,0
Arleta,1489.7714285714285,7094.2,3.342857142857143,1.9714285714285715,8.914285714285715,7.171428571428572,61.857142857142854,"$542,906.29",542906.2857142857,1953.7428571428572,-118.4307575,34.24309999912158,0,0,1,0,0,0,0,0,0,1,0
Arlington Heights,2228.0,6922.75,3.0,2.25,13.25,7.25,108.25,"$1,027,250.00",1027250.0,1911.75,-118.3234085,34.04491049912405,1,0,0,0,0,0,0,0,0,1,0
Artesia,1646.8947368421052,6724.210526315789,3.473684210526316,2.210526315789474,9.842105263157896,6.894736842105263,57.421052631578945,"$662,210.53",662210.5263157896,1960.7368421052631,-118.08010100000017,33.86689599912627,0,0,0,1,0,0,0,0,1,0,0
Athens,1395.3333333333333,6333.666666666667,4.0,2.0,16.333333333333332,14.333333333333334,68.0,"$615,666.67",615666.6666666666,1952.0,-118.30465647554277,33.9236925059352,1,0,0,0,0,0,1,0,0,0,0
Atwater Village,1364.2307692307693,5618.2692307692305,2.6538461538461537,1.7692307692307692,6.346153846153846,8.307692307692308,79.65384615384616,"$1,082,346.15",1082346.153846153,1937.3846153846155,-118.26237347966236,34.13106635675918,1,0,0,0,0,0,0,0,0,1,0
Avocado Heights,1365.2142857142858,7683.0,3.2142857142857144,1.7857142857142858,5.428571428571429,5.071428571428571,55.07142857142857,"$571,035.71",571035.7142857144,1961.5,-118.0012614768012,34.040881003821966,0,0,0,1,0,0,0,0,0,1,0
Azusa,1725.4166666666667,7567.708333333333,3.2916666666666665,2.2291666666666665,6.208333333333333,5.541666666666667,55.291666666666664,"$586,864.58",586864.5833333329,1962.6875,-117.91246849999999,34.13746999912302,0,0,0,1,0,0,0,0,0,1,0
Baldwin Hills/Crenshaw,1927.65,7540.9,3.0,2.2,8.7,7.6,59.65,"$884,050.00",884050.0,1953.3,-118.35774600000005,34.01197027055953,1,0,0,0,0,0,1,0,0,0,0
Baldwin Park,1257.7878787878788,6351.818181818182,2.9242424242424243,1.696969696969697,5.53030303030303,6.348484848484849,58.92424242424242,"$519,878.79",519878.7878787883,1958.939393939394,-117.9751905000002,34.08110949912369,0,0,0,1,0,0,0,0,0,1,0
